run:
Preprocessing in SmartWord...
processOldMessages 
aardvark frequence 1
aardwolf frequence 1
aaru frequence 1
aaronical frequence 1
aaronite frequence 1
aaronitic frequence 1
aalii frequence 1
aam frequence 1
aani frequence 1
ababdeh frequence 1
ababua frequence 1
abacate frequence 1
abacay frequence 1
abactinally frequence 1
abaction frequence 1
abactor frequence 1
abacus frequence 1
abaculus frequence 1
abaciscus frequence 1
abacist frequence 1
abacinate frequence 1
abacination frequence 1
aback frequence 1
abadite frequence 1
abaft frequence 1
abaff frequence 1
abaisance frequence 1
abaissed frequence 1
abaiser frequence 1
abalienate frequence 1
abalienation frequence 1
abalone frequence 1
abampere frequence 1
abama frequence 1
abandonable frequence 1
abandoner frequence 1
abandoned frequence 3
abandonee frequence 1
abandonment frequence 1
abantes frequence 1
abanic frequence 1
abaptiston frequence 1
abarambo frequence 1
abarthrosis frequence 1
abarticular frequence 1
abarticulation frequence 1
abaris frequence 1
abassin frequence 1
abastardize frequence 1
abaser frequence 1
abasedly frequence 1
abasedness frequence 1
abasement frequence 1
abasgi frequence 1
abashedly frequence 1
abashedness frequence 1
abashlessly frequence 1
abashment frequence 1
abasia frequence 1
abasic frequence 1
abask frequence 1
abatable frequence 1
abattoir frequence 1
abater frequence 1
abatement frequence 1
abatua frequence 1
abature frequence 1
abatised frequence 1
abator frequence 1
abaton frequence 1
abave frequence 1
abaxial frequence 1
abaxile frequence 1
abaze frequence 1
abbacy frequence 1
abbacomes frequence 1
abbasside frequence 1
abbasi frequence 1
abbadide frequence 1
abbatial frequence 1
abbatical frequence 1
abbreviately frequence 1
abbreviature frequence 1
abbreviation frequence 1
abbreviatory frequence 1
abbess frequence 1
abbeystede frequence 1
abbie frequence 1
abby frequence 1
abbotcy frequence 1
abbotship frequence 1
abbott frequence 1
abbotnullius frequence 1
abcoulomb frequence 1
abdat frequence 1
abdal frequence 1
abderian frequence 1
abderite frequence 1
abdest frequence 1
abduction frequence 1
abductor frequence 1
abducens frequence 1
abducent frequence 1
abdicable frequence 1
abdicate frequence 1
abdicative frequence 1
abdication frequence 1
abdicator frequence 1
abdicant frequence 1
abditive frequence 1
abditory frequence 1
abdiel frequence 1
abdomen frequence 1
abdominales frequence 1
abdominalian frequence 1
abdominally frequence 1
abdominoposterior frequence 1
abdominoanterior frequence 1
abdominocardiac frequence 1
abdominocentesis frequence 1
abdominocystic frequence 1
abdominoscope frequence 1
abdominoscopy frequence 1
abdominothoracic frequence 1
abdominous frequence 1
abdominovaginal frequence 1
abdominovesical frequence 1
abdominogenital frequence 1
abdominohysterectomy frequence 1
abdominohysterotomy frequence 1
abepithymia frequence 1
abearance frequence 1
abeam frequence 1
aberrate frequence 1
aberrational frequence 1
aberrator frequence 1
aberrance frequence 1
aberrancy frequence 1
aberrant frequence 1
aberroscope frequence 1
aberrometer frequence 1
aberdeen frequence 1
aberdevine frequence 1
aberdonian frequence 1
aberuncator frequence 1
aberia frequence 1
abecedarian frequence 1
abecedarium frequence 1
abecedary frequence 1
abed frequence 1
abettal frequence 1
abettor frequence 1
abetment frequence 1
abevacuation frequence 1
abeigh frequence 1
abeyance frequence 1
abeyancy frequence 1
abeyant frequence 1
abeltree frequence 1
abele frequence 1
abelian frequence 1
abelicea frequence 1
abelite frequence 2
abelmoschus frequence 1
abelmosk frequence 1
abelonian frequence 1
abencerrages frequence 1
abenteric frequence 1
abfarad frequence 1
abhenry frequence 1
abhiseka frequence 1
abhorrer frequence 1
abhorrence frequence 1
abhorrency frequence 1
abhorrently frequence 1
abhorrible frequence 1
abhorring frequence 1
abhorson frequence 1
abhominable frequence 1
abipon frequence 1
abirritate frequence 1
abirritative frequence 1
abirritation frequence 1
abirritant frequence 1
abiston frequence 1
abidal frequence 1
abidance frequence 1
abider frequence 1
abidingly frequence 1
abidingness frequence 1
abitibi frequence 1
abierta frequence 1
abies frequence 1
abietate frequence 1
abietene frequence 1
abietic frequence 1
abietineae frequence 1
abietineous frequence 1
abietinic frequence 1
abiezer frequence 1
abiuret frequence 1
abigailship frequence 1
abigeat frequence 1
abigeus frequence 1
abilao frequence 1
ability frequence 3
abilities frequence 1
abilla frequence 1
abilo frequence 1
abintestate frequence 1
abiosis frequence 1
abiotrophic frequence 1
abiotrophy frequence 1
abiotic frequence 1
abiogenesist frequence 1
abiogenetically frequence 1
abiogenist frequence 1
abiogeny frequence 1
abiogenous frequence 1
abiologically frequence 1
abiology frequence 1
abjectedness frequence 1
abjective frequence 1
abjection frequence 1
abjectly frequence 1
abjectness frequence 1
abjuration frequence 1
abjuratory frequence 1
abjurer frequence 1
abjurement frequence 1
abjudge frequence 1
abjudicate frequence 1
abjudication frequence 1
abjunctive frequence 1
abjunction frequence 1
abjoint frequence 1
abkari frequence 1
abkhasian frequence 1
ablare frequence 1
ablactate frequence 1
ablactation frequence 1
ablach frequence 1
ablastemic frequence 1
ablastous frequence 1
ablate frequence 1
ablatitious frequence 1
ablatival frequence 1
ablative frequence 1
ablation frequence 1
ablator frequence 1
ablaut frequence 1
ablaze frequence 1
able frequence 14
ablush frequence 1
ablude frequence 1
ablutionary frequence 1
abluent frequence 1
abluvion frequence 1
ablins frequence 1
ably frequence 1
ablow frequence 1
abloom frequence 1
abmho frequence 1
abnaki frequence 1
abnerval frequence 1
abnet frequence 1
abneural frequence 1
abnegate frequence 1
abnegative frequence 1
abnegation frequence 1
abnegator frequence 1
abnumerable frequence 1
abnormalist frequence 1
abnormalism frequence 1
abnormality frequence 1
abnormalize frequence 1
abnormally frequence 1
abnormalness frequence 1
abnormity frequence 1
abnormous frequence 1
aboard frequence 1
abobra frequence 1
abodement frequence 1
abody frequence 1
abohm frequence 1
aboil frequence 1
abolish frequence 2
abolitionary frequence 1
abolitionist frequence 1
abolitionism frequence 1
abolitionize frequence 1
abolla frequence 1
abomasus frequence 1
abomasum frequence 1
abominableness frequence 1
abominably frequence 1
abominate frequence 1
abomination frequence 1
abominator frequence 1
